,Año,Trimestre,Provincia,hasta 512kb,512Kb a 1Mb,1Mb a 6Mb,6Mb a 10Mb,10Mb a 20Mb,20Mb a 30Mb,mas de 30Mb,Otros,Total
160,2020,3,Salta,1290,5140,32780,64736,1599,7928,43773,14996,180846
161,2020,3,San Juan,480,1940,65526,7110,6529,410,128,415,77327
162,2020,3,San Luis,1050,0,12199,3351,2666,61319,8,36917,116565
163,2020,3,Santa Cruz,660,0,26888,4015,673,6290,120,8330,39281
164,2020,3,Santa Fe,5680,1241,213353,199381,92095,58797,210562,27001,802998
165,2020,3,Santiago Del Estero,1330,9090,33287,57418,4658,2920,3994,4801,105492
166,2020,3,Tierra Del Fuego,110,0,22094,5414,3726,4810,937,6992,39655
167,2020,3,Tucumán,520,970,45913,5461,33126,3246,84195,2637,223876
168,2020,2,Buenos Aires,37542,31606,1129236,241336,233132,188995,1894466,21233,3777546
169,2020,2,Capital Federal,2640,3120,166474,94585,79858,8016,935481,6870,1357821
170,2020,2,Catamarca,630,0,8801,869,10242,4260,16578,3176,47976
171,2020,2,Chaco,3080,9280,24350,2114,29044,12082,33311,6969,128132
172,2020,2,Chubut,1580,1090,69578,22188,10537,1473,614,3999,108656
173,2020,2,Córdoba,1680,4383,219025,125932,8953,63216,325243,8971,836468
174,2020,2,Corrientes,720,5270,34242,22845,25844,7898,22418,502,118866
175,2020,2,Entre Ríos,1300,3679,66758,5064,4209,12856,43391,14569,234113
176,2020,2,Formosa,3910,1510,23534,7109,6998,9610,7475,1313,47932
177,2020,2,Jujuy,550,1820,30548,10519,26829,2090,9417,16557,94316
178,2020,2,La Pampa,2930,8100,71218,7531,38,1657,3377,1123,89809
179,2020,2,La Rioja,210,10,37375,5661,4686,730,4336,20,52155
180,2020,2,Mendoza,580,400,142253,12439,35274,3248,5422,245,201184
181,2020,2,Misiones,710,5240,39867,23719,26445,12305,28763,8646,140340
182,2020,2,Neuquén,2180,3270,61171,6103,6625,5296,46432,0,126172
183,2020,2,Río Negro,1140,4660,70817,3335,7498,3246,26953,17057,129486
184,2020,2,Salta,1290,5140,41801,64463,16989,7741,39594,6531,177762
185,2020,2,San Juan,480,1940,59113,9170,4908,400,127,443,69777
186,2020,2,San Luis,1050,0,11439,3585,1934,60889,8,35992,113952
187,2020,2,Santa Cruz,660,0,26938,4166,6541,5460,119,4930,38869
188,2020,2,Santa Fe,5680,2061,213054,198772,96575,57236,189473,20193,777932
189,2020,2,Santiago Del Estero,1330,1779,32557,57709,5178,2470,3328,4516,105447
190,2020,2,Tierra Del Fuego,110,0,22325,5186,3034,3910,796,7446,39189
191,2020,2,Tucumán,520,970,49028,54537,34184,2246,74377,2635,217156
192,2020,1,Buenos Aires,38215,36802,1122034,236421,247977,20578,1802583,28935,3718747
193,2020,1,Capital Federal,2640,3120,169651,102254,89665,85899,906009,0,1354054
194,2020,1,Catamarca,630,0,8838,7543,9558,4080,10299,2151,38860
195,2020,1,Chaco,3080,9280,23291,19976,29851,10416,28539,6917,120226
196,2020,1,Chubut,1580,1090,69586,12957,7756,124,614,45,96920
